No Feedback;Tactile Feedback;Visual Feedback;Combined Feedback
26.836;39.42;23.489;27.044
30.090000000000003;43.144000000000005;26.551;27.85
27.545;37.311;22.658;41.227
42.592000000000006;33.719;37.277;26.331000000000003
42.681;27.430000000000003;30.552000000000003;39.362
35.257000000000005;57.233;22.74;23.152
33.814;27.275;23.404;22.311
26.195;48.282;25.412000000000003;22.833
27.58;36.496;73.23;19.017
26.309;35.831;27.732000000000003;40.181
43.967000000000006;37.346;31.410000000000004;31.469
22.211;33.883;28.447000000000003;24.127
22.423;29.762;37.343;23.331000000000003
48.351000000000006;22.183;26.73;21.367
37.732;33.042;29.092;18.949
30.788;40.690000000000005;22.092;23.014000000000003
43.133;31.213;24.303;22.505000000000003
34.622;43.664;24.651;19.735000000000003
34.334;19.121;49.804;20.442
29.852;28.518;28.025;31.051
33.002;33.942;35.774;40.457
40.529;61.650000000000006;19.124;19.847
35.973;49.745000000000005;24.464;20.639000000000003
39.679;54.852;27.035;42.342000000000006
42.027;49.915000000000006;28.865;31.471000000000004
54.418000000000006;23.5;20.474;33.027
59.385000000000005;26.871;61.075;29.040000000000003
36.589000000000006;31.972;33.409;56.507000000000005
49.447;41.435;43.334;35.804
32.385000000000005;58.815000000000005;46.608;26.673
24.610000000000003;40.319;41.435;21.725
40.837;40.749;31.456000000000003;38.736
50.261;52.025000000000006;28.847;28.641
35.42;21.596;23.058;27.923
45.543000000000006;26.462000000000003;39.822;31.417
30.450000000000003;42.238;23.892000000000003;27.522
43.718;75.12;32.228;37.282
24.875;64.001;19.965;27.637
24.598000000000003;22.37;23.961;21.903
51.547;30.981;29.340000000000003;26.479000000000003
104.928;56.07;41.970000000000006;22.791
31.599;65.22500000000001;60.06;24.643
30.516;65.411;37.73;27.019
27.236;36.597;33.323;23.037000000000003
40.213;48.497;52.092000000000006;24.44
28.657;41.167;19.609;49.195
25.328000000000003;15.448;33.517;17.923000000000002
22.655;28.026000000000003;26.006;19.728
37.408;29.066000000000003;18.603;21.685
27.896;20.976000000000003;23.103;18.535
36.486;58.725;20.817;31.207
32.374;37.983;51.997;21.858
54.527;39.698;36.738;22.790000000000003
36.841;46.863;31.201;34.85
87.049;18.007;26.788;35.35
33.653;56.393;27.15;23.334000000000003
66.10900000000001;30.024;24.925;33.314
26.153;30.999;36.122;28.518
27.861;18.315;31.863000000000003;18.789
18.678;46.909000000000006;24.753;18.427
72.18100000000001;48.388000000000005;30.339;17.249000000000002
53.972;35.596000000000004;19.826;20.389000000000003
60.065000000000005;16.713;29.878;13.588
20.811;29.496;33.02;16.524
33.786;38.705000000000005;21.072000000000003;17.61
22.689;25.382;33.401;17.368000000000002
43.902;52.656000000000006;24.369;26.397
77.62100000000001;31.762;33.213;43.016000000000005
57.715;38.653000000000006;24.62;29.531
33.483000000000004;49.081;30.694000000000003;31.497000000000003
39.055;40.592000000000006;39.057;23.684
54.204;37.065000000000005;28.626;35.906
39.602;35.791000000000004;38.375;36.203
30.412000000000003;28.761000000000003;26.595;40.069
30.319000000000003;46.305;31.065;25.337000000000003
40.005;82.186;18.677;21.793000000000003
28.657;18.453;30.302000000000003;28.112
38.348;28.106;36.782;28.817
38.5;33.226;28.148000000000003;20.693
31.703000000000003;39.331;23.618;47.971
30.645000000000003;27.191000000000003;20.511000000000003;33.238
28.888;37.464000000000006;58.512;25.912000000000003
53.49;34.854;30.874;35.318000000000005
30.967;28.396;22.594;22.597
38.221;40.626000000000005;18.309;42.068000000000005
32.203;24.806;18.0;45.406000000000006
34.218;27.077;29.677000000000003;22.022
27.908;46.641000000000005;54.176;26.299000000000003
38.440000000000005;32.773;38.147000000000006;29.046000000000003
30.73;29.794;24.827;26.062
51.791;36.671;42.106;34.589
48.683;31.656;52.628;22.68
26.505000000000003;47.754000000000005;39.010000000000005;37.92
42.467000000000006;23.394;25.198;22.549000000000003
29.548;25.501;30.677000000000003;26.475
30.998;33.726;31.252;25.474
26.439;59.045;40.709;25.523000000000003
45.074000000000005;58.761;33.574000000000005;50.078
49.982000000000006;56.562000000000005;30.146;28.608
52.105;33.629000000000005;24.001;31.334000000000003
23.632;35.999;27.744000000000003;35.797000000000004
83.226;41.456;22.928;29.541
25.545;27.708;29.595;25.843
46.704;42.831;23.860000000000003;29.72
43.742;62.519000000000005;30.1;44.639
25.144;27.006;25.473000000000003;31.058000000000003
44.932;27.425;24.816000000000003;35.992000000000004
23.135;27.935;39.484;31.449
23.851000000000003;30.838;28.212000000000003;46.685
29.096;52.524;19.405;20.398
30.504;37.049;19.049;20.334
21.828000000000003;33.243;18.149;19.977
31.902;60.952000000000005;19.055;44.0
22.110000000000003;31.752;20.342;29.102
25.859;27.277;18.743;38.009
24.279;30.803;21.572000000000003;21.694000000000003
23.23;37.782;18.533;19.261000000000003
20.914;32.348;17.702;38.686
29.882;47.77;17.582;21.854000000000003
20.735000000000003;24.412000000000003;16.722;19.121
27.873;54.255;22.144;27.473000000000003
19.041;26.982000000000003;18.267;24.724
23.015;31.598000000000003;27.266;21.917
27.610000000000003;19.636000000000003;17.293000000000003;21.727
20.978;24.275;39.351;17.89
29.769;23.636000000000003;17.618000000000002;18.559
22.191000000000003;78.574;17.651;23.088
20.700000000000003;29.912000000000003;17.728;28.001
30.904000000000003;27.289;16.198;32.103
72.019;58.298;20.264000000000003;36.094
73.81;36.813;39.24;24.589
56.884;35.768;23.15;42.626000000000005
54.348000000000006;43.709;23.05;24.911
56.202000000000005;39.226;23.508000000000003;42.165
46.969;45.887;30.723000000000003;51.328
49.42400000000001;35.175000000000004;19.894;34.002
39.27;38.986;17.053;36.285
41.389;29.786;33.642;31.653
51.179;66.712;19.66;19.549
46.462;57.906000000000006;31.24;28.16
58.387;30.903;27.205;34.058
40.461000000000006;39.722;37.558;22.265
50.442;32.909;21.64;24.603
74.581;55.234;19.398;18.035
50.762;38.645;26.47;32.858000000000004
45.468;38.86;26.919;28.06
48.473000000000006;44.118;35.199000000000005;34.53
53.23500000000001;39.895;17.78;21.8
47.940000000000005;42.48;19.718;22.168000000000003
37.389;50.636;23.284;23.708
61.332;56.218;35.005;19.469
39.525000000000006;39.678;31.532000000000004;28.5
51.737;57.400000000000006;22.058;23.096
47.478;30.863000000000003;29.368;23.763
55.812000000000005;72.474;33.133;26.458
35.995000000000005;36.025000000000006;39.396;22.209
