;ProbandId;TrialNumber;Condition;ShowNumberCount;BlockId;LayerChangeCount;Difference
1519;17;3;No Feedback;16;0.0;23.0;7.0
1520;17;4;No Feedback;16;0.0;24.0;8.0
1521;17;5;No Feedback;6;0.0;14.0;8.0
1522;17;6;No Feedback;12;0.0;15.0;3.0
1523;17;7;No Feedback;9;0.0;14.0;5.0
1524;17;8;No Feedback;7;0.0;14.0;7.0
1525;17;9;No Feedback;7;0.0;14.0;7.0
1526;17;10;No Feedback;13;0.0;14.0;1.0
1527;17;11;No Feedback;13;0.0;18.0;5.0
1528;17;12;No Feedback;14;0.0;23.0;9.0
1529;17;13;No Feedback;7;0.0;14.0;7.0
1530;17;14;No Feedback;23;0.0;47.0;24.0
1531;17;15;No Feedback;6;0.0;14.0;8.0
1532;17;16;No Feedback;12;0.0;30.0;18.0
1533;17;17;No Feedback;10;0.0;22.0;12.0
1534;17;18;No Feedback;7;0.0;14.0;7.0
1535;17;19;No Feedback;14;0.0;27.0;13.0
1536;17;20;No Feedback;7;0.0;13.0;6.0
1537;17;21;Tactile Feedback;12;1.0;18.0;6.0
1538;17;22;Tactile Feedback;10;1.0;14.0;4.0
1539;17;23;Tactile Feedback;8;1.0;14.0;6.0
1540;17;24;Tactile Feedback;9;1.0;24.0;15.0
1541;17;25;Tactile Feedback;8;1.0;19.0;11.0
1542;17;26;Tactile Feedback;13;1.0;29.0;16.0
1543;17;27;Tactile Feedback;6;1.0;16.0;10.0
1544;17;28;Tactile Feedback;7;1.0;13.0;6.0
1545;17;29;Tactile Feedback;9;1.0;16.0;7.0
1546;17;30;Tactile Feedback;16;1.0;29.0;13.0
1547;17;31;Tactile Feedback;14;1.0;27.0;13.0
1548;17;32;Tactile Feedback;15;1.0;39.0;24.0
1549;17;33;Tactile Feedback;12;1.0;13.0;1.0
1550;17;34;Tactile Feedback;9;1.0;14.0;5.0
1551;17;35;Tactile Feedback;13;1.0;19.0;6.0
1552;17;36;Tactile Feedback;8;1.0;13.0;5.0
1553;17;37;Tactile Feedback;12;1.0;20.0;8.0
1554;17;38;Tactile Feedback;16;1.0;28.0;12.0
1555;17;39;Tactile Feedback;9;1.0;14.0;5.0
1556;17;40;Tactile Feedback;9;1.0;16.0;7.0
1557;17;41;Tactile Feedback;8;1.0;14.0;6.0
1558;17;42;Visual Feedback;14;2.0;14.0;0.0
1559;17;43;Visual Feedback;10;2.0;14.0;4.0
1560;17;44;Visual Feedback;7;2.0;16.0;9.0
1561;17;45;Visual Feedback;11;2.0;22.0;11.0
1562;17;46;Visual Feedback;14;2.0;14.0;0.0
1563;17;47;Visual Feedback;12;2.0;14.0;2.0
1564;17;48;Visual Feedback;7;2.0;14.0;7.0
1565;17;49;Visual Feedback;8;2.0;14.0;6.0
1566;17;50;Visual Feedback;11;2.0;14.0;3.0
1567;17;51;Visual Feedback;14;2.0;21.0;7.0
1568;17;52;Visual Feedback;9;2.0;22.0;13.0
1569;17;53;Visual Feedback;8;2.0;13.0;5.0
1570;17;54;Visual Feedback;8;2.0;14.0;6.0
1571;17;55;Visual Feedback;7;2.0;14.0;7.0
1572;17;56;Visual Feedback;7;2.0;14.0;7.0
1573;17;57;Visual Feedback;9;2.0;14.0;5.0
1574;17;58;Visual Feedback;7;2.0;13.0;6.0
1575;17;59;Visual Feedback;10;2.0;14.0;4.0
1576;17;60;Visual Feedback;7;2.0;13.0;6.0
1577;17;61;Visual Feedback;7;2.0;14.0;7.0
1578;17;62;Visual Feedback;13;2.0;14.0;1.0
1579;17;63;Combined Feedback;8;3.0;14.0;6.0
1580;17;64;Combined Feedback;9;3.0;14.0;5.0
